model,stratified_split,calibrated,accuracy,accuracy_std,accuracy_iqr,precision,precision_std,precision_iqr,recall,recall_std,recall_iqr,f1_score,f1_score_std,f1_score_iqr,roc_auc,roc_auc_std,roc_auc_iqr,specificity,specificity_std,specificity_iqr,balanced_accuracy,balanced_accuracy_std,balanced_accuracy_iqr,mcc,mcc_std,mcc_iqr,eer,eer_std,eer_iqr,brier_score,brier_score_std,brier_score_iqr,n_seeds
linear_svm,False,False,0.7490144961594156,0.033426472246570006,0.028163060033043807,0.7285992263109579,0.11448377959940136,0.11983686212966493,0.6945165013925686,0.08513386299927007,0.0886191101449777,0.7016543789791011,0.0348923454232366,0.05076817915769527,0.7809060498226178,0.05573479306995092,0.06411931410877292,0.8111946495619025,0.05579903579821632,0.057966325283916986,0.7528555754772355,0.03874976275576009,0.03156992675784298,0.4977007836346523,0.06384859322379388,0.06738600940598005,0.24936516881599333,0.04982024432980421,0.05923351345511757,0.20738441184951403,0.006982839672868636,0.007958828862619227,6
linear_svm,True,True,0.7924992219109867,0.0004990806319429374,0.0008029878618114328,0.7755802824053655,0.0006808123495831597,9.73345321554353e-05,0.7361599862672733,0.0018174798293799888,0.002639258432752589,0.7553547576752759,0.0008483175028113719,0.00120669877203472,0.7508395809832455,0.003778457605655032,0.00649135288356717,0.8359009962091157,0.0009127604211257988,0.0004959005554086016,0.7860304912381945,0.0006171646596717533,0.0009349859999779886,0.5760103487792202,0.0010654863188349457,0.0016950715152791451,0.23300119067223038,0.004352477368477371,0.005953486709524086,0.18538360452812894,0.0014547189633323091,0.0022835292307457344,6
logistic_regression,False,False,0.7495634299392239,0.033759046722064485,0.0317540512395319,0.7285749308741624,0.11427946737560557,0.11896546798058738,0.6974327508997608,0.08902965057931543,0.10955619885793899,0.7028644771330163,0.035846404570317854,0.057039249976511774,0.782267399635285,0.05858108967226413,0.06862347261026414,0.8103617824291914,0.056134803407401644,0.056852294071874865,0.7538972666644761,0.039368122892397606,0.03574289636788508,0.4994951809193013,0.06482829417461067,0.0653787900805885,0.24777007907907256,0.05224875573619142,0.05929688791205942,0.19250090927717553,0.013354491294109766,0.01605068180275837,6
logistic_regression,True,True,0.7914223467164644,0.000712429110196151,0.0008216619981326057,0.7730590249547588,0.0010321838121111768,0.0015345518357937626,0.7370468915400682,0.004043534111475146,0.005299974251137263,0.7546162882167308,0.0016471669674913408,0.002062957995282888,0.7477858060773083,0.002705127270652811,0.003430206553186599,0.8333112933086485,0.0018808807790371691,0.0027274530547474196,0.7851790924243582,0.00109144310030402,0.0013358506537357595,0.5739247442411308,0.0016306960022804766,0.00192084176405094,0.2344159423348575,0.0055531457173657655,0.007737287245247748,0.19433490792803668,0.0004312600764422166,0.0004914538569613935,6
mlp,False,False,0.7107166431649752,0.033841806839240145,0.05280521329601817,0.6842144391069499,0.1417162516533802,0.12437425111756417,0.6592385599621622,0.08419290653119353,0.1269065039525833,0.6583909284648325,0.051834416796963274,0.06813459177999093,0.755175725743834,0.04555005299159782,0.034629932886644066,0.7737820153049794,0.07667914365331203,0.04658679228052687,0.7165102876335708,0.03325322483784097,0.05230723997239273,0.42678106593113846,0.06643696086522322,0.11649100410069202,0.2859139384666159,0.03406800924774233,0.04459935317393954,0.21140292191352728,0.021848907013790452,0.031708606728647615,6
mlp,True,True,0.7450793650793651,0.007984734017891168,0.005434173669467857,0.71237999342055,0.022217716809403952,0.027998582319446297,0.7000972734815324,0.07254767489180257,0.11913140502961106,0.7035526041273937,0.027445321732863896,0.040241477229030376,0.7316787934472901,0.01519430108852744,0.024139397806445917,0.7797319932998326,0.04490626336845415,0.06742594551705894,0.7399146333906824,0.014721438913644743,0.01848860650845796,0.48308252013352143,0.022089893442972148,0.023461230976347502,0.26386292582412335,0.03078747981001737,0.04818295385320073,0.19745306148869002,0.002677264790218709,0.0029015927249808338,6
xgboost,False,False,0.7509373792264243,0.028539285229347885,0.04449367087825884,0.7208443904460767,0.12053115170978267,0.13271194872789294,0.7195033041111247,0.0830948505427913,0.11821750253587848,0.7101313796917518,0.03719429008961279,0.05244691311342564,0.7703658753238284,0.053044690015818234,0.06404327797495091,0.7963406087560907,0.06279952888011499,0.05413181764069275,0.7579219564336078,0.03559218252340956,0.04366640913471542,0.5046818376896707,0.05899067023546841,0.08403860043989986,0.2545805369836665,0.04236365245154922,0.06824607062902868,0.19778942207997185,0.013665397728287768,0.019331824773082013,6
xgboost,True,True,0.7824400871459695,0.0015676341466961182,0.0019047619047619646,0.7405133403386324,0.005294804545953279,0.007667598346305926,0.7699196063284983,0.007647728514456334,0.011823019483306219,0.7548863343115862,0.0016793414709031698,0.002687626666280085,0.7387653234732948,0.0022625425582590056,0.003000782890960063,0.7920854271356784,0.007617508902130435,0.010942872256016867,0.7810025167320883,0.0012381528339649836,0.0017642669935741262,0.5598473004667344,0.0025906204086401908,0.0035578869286850834,0.22185491306923907,0.0025366945757439134,0.0034123968101681945,0.19403468828994105,0.002127393014075518,0.0032185135647603558,6
