model,stratified_split,calibrated,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1_score,f1_score_std,roc_auc,roc_auc_std,specificity,specificity_std,balanced_accuracy,balanced_accuracy_std,mcc,mcc_std,eer,eer_std,brier_score,brier_score_std,ece,ece_std
linear_svc,False,False,0.7490144961594156,0.033426472246570006,0.7285992263109579,0.11448377959940136,0.6945165013925686,0.08513386299927007,0.7016543789791011,0.0348923454232366,0.7809060498226178,0.05573479306995092,0.8111946495619025,0.05579903579821632,0.7528555754772355,0.03874976275576009,0.4977007836346523,0.06384859322379388,0.24936516881599333,0.04982024432980421,0.20738441184951403,0.006982839672868636,0.17506226606231068,0.05181269444853831
linear_svc,True,True,0.7924992219109867,0.0004990806319429374,0.7755802824053655,0.0006808123495831597,0.7361599862672733,0.0018174798293799888,0.7553547576752759,0.0008483175028113719,0.7508395809832455,0.003778457605655032,0.8359009962091157,0.0009127604211257988,0.7860304912381945,0.0006171646596717533,0.5760103487792202,0.0010654863188349457,0.23300119067223038,0.004352477368477371,0.18538360452812894,0.0014547189633323091,0.14863657509626801,0.004031945437592215
logistic_regression,False,False,0.7495634299392239,0.033759046722064485,0.7285749308741624,0.11427946737560557,0.6974327508997608,0.08902965057931543,0.7028644771330163,0.035846404570317854,0.782267399635285,0.05858108967226413,0.8103617824291914,0.056134803407401644,0.7538972666644761,0.039368122892397606,0.4994951809193013,0.06482829417461067,0.24777007907907256,0.05224875573619142,0.19250090927717553,0.013354491294109766,0.1311412429304852,0.04559797012094869
logistic_regression,True,True,0.7914223467164644,0.000712429110196151,0.7730590249547588,0.0010321838121111768,0.7370468915400682,0.004043534111475146,0.7546162882167308,0.0016471669674913408,0.7477858060773083,0.002705127270652811,0.8333112933086485,0.0018808807790371691,0.7851790924243582,0.00109144310030402,0.5739247442411308,0.0016306960022804766,0.2344159423348575,0.0055531457173657655,0.19433490792803668,0.0004312600764422166,0.1726667077219872,0.006177058902584329
mlp,False,False,0.7107166431649752,0.033841806839240145,0.6842144391069499,0.1417162516533802,0.6592385599621622,0.08419290653119353,0.6583909284648325,0.051834416796963274,0.755175725743834,0.04555005299159782,0.7737820153049794,0.07667914365331203,0.7165102876335708,0.03325322483784097,0.42678106593113846,0.06643696086522322,0.2859139384666159,0.03406800924774233,0.21140292191352728,0.021848907013790452,0.13396678204451168,0.054076307919287685
mlp,True,True,0.7450793650793651,0.007984734017891168,0.71237999342055,0.022217716809403952,0.7000972734815324,0.07254767489180257,0.7035526041273937,0.027445321732863896,0.7316787934472901,0.01519430108852744,0.7797319932998326,0.04490626336845415,0.7399146333906824,0.014721438913644743,0.48308252013352143,0.022089893442972148,0.26386292582412335,0.03078747981001737,0.19745306148869002,0.002677264790218709,0.10455995515633033,0.023262761830336563
xgboost,False,False,0.7509373792264243,0.028539285229347885,0.7208443904460767,0.12053115170978267,0.7195033041111247,0.0830948505427913,0.7101313796917518,0.03719429008961279,0.7703658753238284,0.053044690015818234,0.7963406087560907,0.06279952888011499,0.7579219564336078,0.03559218252340956,0.5046818376896707,0.05899067023546841,0.2545805369836665,0.04236365245154922,0.19778942207997185,0.013665397728287768,0.13958315360779336,0.04742637523412669
xgboost,True,True,0.7824400871459695,0.0015676341466961182,0.7405133403386324,0.005294804545953279,0.7699196063284983,0.007647728514456334,0.7548863343115862,0.0016793414709031698,0.7387653234732948,0.0022625425582590056,0.7920854271356784,0.007617508902130435,0.7810025167320883,0.0012381528339649836,0.5598473004667344,0.0025906204086401908,0.22185491306923907,0.0025366945757439134,0.19403468828994105,0.002127393014075518,0.17664633193088705,0.0027087928879544376
